Количество итераций 1867; Время: 3 микросекунд; 
Количество итераций 1844; Время: 4 микросекунд; 
Количество итераций 1781; Время: 3 микросекунд; 
Количество итераций 1786; Время: 3 микросекунд; 
Количество итераций 1748; Время: 3 микросекунд; 
Количество итераций 1941; Время: 2 микросекунд; 
Количество итераций 1877; Время: 3 микросекунд; 
Количество итераций 1810; Время: 3 микросекунд; 
Количество итераций 1864; Время: 3 микросекунд; 
Количество итераций 1795; Время: 5 микросекунд; 
Количество итераций 1811; Время: 4 микросекунд; 
Количество итераций 1897; Время: 4 микросекунд; 
Количество итераций 1814; Время: 4 микросекунд; 
Количество итераций 1784; Время: 4 микросекунд; 
Количество итераций 1776; Время: 3 микросекунд; 
Количество итераций 1870; Время: 3 микросекунд; 
Количество итераций 1870; Время: 3 микросекунд; 
Количество итераций 1741; Время: 5 микросекунд; 
Количество итераций 1762; Время: 2 микросекунд; 
Количество итераций 1846; Время: 3 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 0 микросекунд; 
Количество итераций 0; Время: 1 микросекунд; 
Количество итераций 0; Время: 3 микросекунд; 
Количество итераций 0; Время: 110341607 микросекунд; 
Количество итераций 0; Время: 2998968 микросекунд; 
Количество итераций 0; Время: 2 микросекунд; 
Количество итераций 0; Время: 3 микросекунд; 
Количество итераций 0; Время: 3 микросекунд; 
Количество итераций 0; Время: 24 микросекунд; 
Количество итераций 0; Время: 14 микросекунд; 
Количество итераций 0000000000000000; Время: 6 микросекунд; 
Количество итераций 85; Время: 6 микросекунд; 
Количество итераций 67; Время: 15 микросекунд; 
