Количество итераций 1775; Время: 4 микросекунд; 
Количество итераций 1861; Время: 4 микросекунд; 
Количество итераций 1851; Время: 3 микросекунд; 
Количество итераций 1799; Время: 3 микросекунд; 
Количество итераций 1830; Время: 4 микросекунд; 
Количество итераций 1799; Время: 3 микросекунд; 
Количество итераций 1831; Время: 4 микросекунд; 
Количество итераций 1883; Время: 4 микросекунд; 
Количество итераций 1781; Время: 4 микросекунд; 
Количество итераций 1847; Время: 4 микросекунд; 
Количество итераций 1823; Время: 4 микросекунд; 
Количество итераций 1891; Время: 4 микросекунд; 
Количество итераций 1754; Время: 4 микросекунд; 
Количество итераций 1782; Время: 4 микросекунд; 
Количество итераций 1752; Время: 4 микросекунд; 
Количество итераций 1847; Время: 5 микросекунд; 
Количество итераций 1846; Время: 4 микросекунд; 
Количество итераций 1894; Время: 4 микросекунд; 
Количество итераций 1864; Время: 6 микросекунд; 
Количество итераций 1730; Время: 3 микросекунд; 
